shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4525_55,53.3423877,-6.2938774,232,4352.673
4525_55,53.3423564,-6.294006,233,4361.919
4525_55,53.342353,-6.2941815,234,4373.615
4525_55,53.3422376865989,-6.2946190666983,235,4405.461
4525_55,53.3422099716771,-6.29472412739257,236,4413.108
4525_55,53.3421256,-6.2950447,237,4436.434
4525_55,53.341966,-6.2955287,238,4473.242
4525_55,53.3418953,-6.2957211,239,4488.28
4525_55,53.3418449,-6.2959328,240,4503.456
4525_55,53.3416325,-6.2969566,241,4575.63
4525_55,53.3415619,-6.2973326,242,4601.878
4525_55,53.3415084,-6.2975951,243,4620.349
4525_55,53.3414811,-6.297829,244,4636.222
4525_55,53.3414472,-6.2981404,245,4657.305
4525_55,53.3414279587655,-6.29835973908837,246,4672.071
4525_55,53.3414002,-6.2986782,247,4693.507
4525_55,53.3413361,-6.2992152,248,4729.98
4525_55,53.3413242,-6.2993145,249,4736.725
4525_55,53.3413038,-6.2994858,250,4748.359
4525_55,53.34114,-6.3004749,251,4816.718
4525_55,53.3411149,-6.3006497,252,4828.691
4525_55,53.341021,-6.3012675,253,4871.149
4525_55,53.3409361,-6.3018323,254,4909.938
4525_55,53.3408991,-6.3020782,255,4926.827
4525_55,53.3407841,-6.302843,256,4979.353
4525_55,53.340779,-6.3028816,257,4981.986
4525_55,53.3407229,-6.3033034,258,5010.768
4525_55,53.3407162,-6.3033536,259,5014.194
4525_55,53.3407083,-6.303444,260,5020.279
4525_55,53.3406936,-6.3036126,261,5031.628
4525_55,53.3407015,-6.3039017,262,5050.905
4525_55,53.3407274,-6.3042036,263,5071.22
4525_55,53.3407463,-6.3046673,264,5102.178
4525_55,53.3407206,-6.305383,265,5149.937
4525_55,53.3406988,-6.3059908,266,5190.495
4525_55,53.340688,-6.3062908,267,5210.514
4525_55,53.3406298,-6.3074437,268,5287.581
4525_55,53.3406317,-6.3076594,269,5301.95
4525_55,53.3406192,-6.3081675,270,5335.823
4525_55,53.3406006,-6.3089227,271,5386.17
4525_55,53.3405954971867,-6.30910849376959,272,5398.558
4525_55,53.3405800182941,-6.30968927580518,273,5437.283
4525_55,53.340579,-6.3097328,274,5440.184
4525_55,53.3405793,-6.3098746,275,5449.629
4525_55,53.3405806,-6.3104457,276,5487.671
4525_55,53.3406104,-6.3110003,277,5524.761
4525_55,53.3406343,-6.3112712,278,5543.001
4525_55,53.3406532,-6.3115175,279,5559.541
4525_55,53.3406735,-6.3117962,280,5578.242
4525_55,53.3407085,-6.3123823,281,5617.476
4525_55,53.3407016,-6.3126821,282,5637.46
4525_55,53.3406866,-6.3128822,283,5650.893
4525_55,53.3406491,-6.3131698,284,5670.499
4525_55,53.3406088,-6.3134287,285,5688.318
4525_55,53.3405468,-6.3137804,286,5712.74
4525_55,53.3405037,-6.3140069,287,5728.571
4525_55,53.340435,-6.3144763,288,5760.759
4525_55,53.3404092021728,-6.3146676029082,289,5773.822
4525_55,53.3403026,-6.3154585,290,5827.823
4525_55,53.3402888,-6.3155624,291,5834.912
4525_55,53.3402647,-6.3157507,292,5847.738
4525_55,53.3401724376324,-6.31637945545079,293,5890.861
4525_55,53.3401483,-6.3165451,294,5902.217
4525_55,53.3400906,-6.3168792,295,5925.379
4525_55,53.340081,-6.3169326,296,5929.093
4525_55,53.3400677,-6.316981,297,5932.641
4525_55,53.3400156,-6.3172034,298,5948.549
4525_55,53.3398606,-6.3178653,299,5995.894
4525_55,53.3398383219458,-6.31797301359411,300,6003.485
4525_55,53.3397285,-6.3185097,301,6041.266
4525_55,53.3396311724972,-6.31890439361063,302,6069.701
4525_55,53.3395101,-6.3193039,303,6099.53
4525_55,53.3394073,-6.3196427,304,6124.832
4525_55,53.3393674,-6.3198472,305,6139.16
4525_55,53.3393687,-6.3199306,306,6144.717
4525_55,53.3393738,-6.3200101,307,6150.043
4525_55,53.3393913,-6.3201112,308,6157.053
4525_55,53.339447,-6.3205098,309,6184.319
4525_55,53.3394549,-6.3205664,310,6188.19
4525_55,53.3394865,-6.3207727,311,6202.375
4525_55,53.3395244,-6.321039,312,6220.608
4525_55,53.3393675,-6.3211794,313,6240.417
4525_55,53.3392891,-6.3212598,314,6250.655
4525_55,53.3392418,-6.3213091,315,6256.86
4525_55,53.3391898,-6.3213633,316,6263.681
4525_55,53.3391358,-6.3214195,317,6270.761
4525_55,53.3391188,-6.3214372,318,6272.99
4525_55,53.3389301,-6.3217329,319,6301.783
4525_55,53.3388941,-6.3217893,320,6307.276
4525_55,53.3387003804701,-6.32211090688719,321,6337.669
4525_55,53.3386392,-6.3222125,322,6347.269
4525_55,53.3384884,-6.3224467,323,6370.184
4525_55,53.3383344,-6.3226869,324,6393.631
4525_55,53.3382879,-6.3227579,325,6400.642
4525_55,53.3382346987404,-6.32284329621538,326,6408.852
4525_55,53.3379354,-6.3233238,327,6455.049
4525_55,53.3378885,-6.3234031,328,6462.475
4525_55,53.3378264,-6.3234988,329,6471.877
4525_55,53.3376949593653,-6.32371071824998,330,6492.207
4525_55,53.3376645,-6.3237598,331,6496.916
4525_55,53.3373198,-6.3243161,332,6550.255
4525_55,53.3369551,-6.3248884,333,6605.94
4525_55,53.336843,-6.3250431,334,6622.122
4525_55,53.3368128,-6.3250848,335,6626.483
4525_55,53.3365912,-6.3253907,336,6658.475
4525_55,53.3364568,-6.3255755,337,6677.847
4525_55,53.3363334,-6.3257465,338,6695.69
