stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8340B136291,136291.0,St Senan's Hospital,,52.4898831865274,-6.56600697805587,,,,
8340B1363001,136301.0,Wexford Hospital,,52.34207,-6.484158,,,,
8340B140641,140641.0,Kilrane,,52.2420312150292,-6.35485312411135,,,,
8340B2346401,234641.0,Piercestown Cross,,52.2902788142897,-6.4636883460967,,,,
8340B2988801,298881.0,Wexford Racecourse,,52.342007,-6.487653,,,,
8340B298901,298901.0,Rosslare Harbour,,52.2496886004701,-6.34380466878557,,,,
8340B3004001,300401.0,Trinity Street,,52.3348112454546,-6.45605555934969,,,,
8340B3004201,300421.0,New Ross Irishtown,,52.396944,-6.934916,,,,
8340B3202401,320241.0,Fairy Hill,,52.3844394912478,-6.46907408635442,,,,
8340B3300201,330021.0,Killurin,,52.38182,-6.575596,,,,
8340B330031,330031.0,Ballyhogue,,52.4142715603614,-6.57525286034456,,,,
8340B330041,330041.0,Ballyhogue,,52.4141529769477,-6.57510967737686,,,,
8340B330051,330051.0,Sparrow Bridge,,52.428746,-6.614463,,,,
8340B330081,330081.0,Clonmore,,52.4288387156926,-6.6142376432391,,,,
8340B330121,330121.0,Blackhall,,52.21293167,-6.786307778,,,,
8340B330201,330201.0,Barry's Cross,,52.3561906893919,-6.65402189997542,,,,
8340B330221,330221.0,Ballycullane,,52.2774743569175,-6.83780752908516,,,,
8340B3302401,330241.0,Blackhall,,52.212932,-6.786308,,,,
8340B330251,330251.0,Camross,,52.3624088327816,-6.70284534516062,,,,
8340B330261,330261.0,Ballycullane,,52.2774939164804,-6.83796822083952,,,,
8340B330271,330271.0,Barry's Cross,,52.3558551534792,-6.6529750608624,,,,
8340B3302801,330281.0,Ballyvergin,,52.383533,-6.717245,,,,
8340B330291,330291.0,Ballyvergin,,52.3623265807277,-6.71176039594939,,,,
8340B330301,330301.0,Carrig-on-Bannow,,52.2389313901005,-6.73233648299998,,,,
8340B3303101,330311.0,Kilmore Quay,,52.1777868977584,-6.58453341994181,,,,
8340B330321,330321.0,Ballyhine,,52.3398156748995,-6.5641897462795,,,,
8340B330341,330341.0,Adamstown,,52.3929967480382,-6.71918383958954,,,,
8340B330351,330351.0,Carrig-on-Bannow,,52.2388304956956,-6.73214900869845,,,,
8340B3303701,330371.0,Fethard-on-Sea,,52.1921465302912,-6.84019509307476,,,,
8340B330381,330381.0,Larkins Cross,,52.3398719064319,-6.56437871106826,,,,
8340B330401,330401.0,Taghmon,,52.322909428823,-6.65448939106145,,,,
8340B330411,330411.0,Coolishal,,52.2341456854556,-6.69897482146174,,,,
8340B330421,330421.0,Marshalstown,,52.5501865306874,-6.59648285684822,,,,
8340B330431,330431.0,Coolishal,,52.2340107295921,-6.69896412698313,,,,
8340B3304401,330441.0,Kilmore,,52.203986,-6.54923,,,,
8340B3304501,330451.0,Marshalstown,,52.5501146471773,-6.59648515055057,,,,
8340B330471,330471.0,Rochestown Cross,,52.2822362847854,-6.75384786990999,,,,
8340B330481,330481.0,Irishtown,,52.396918,-6.93499,,,,
8340B330491,330491.0,Rochestown Cross,,52.2822362847854,-6.75384786990999,,,,
8340B330511,330511.0,Milehouse Road,,52.510557,-6.589157,,,,
